valueSetId	valueSetName	entityId	sourceCode	term	valueSource
D00001	限工伤保险的药品	1710412402182100906	558	氢醌软膏剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182101033	826	A型肉毒毒素注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182100981	833	人用狂犬病疫苗(Vero细胞)注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182100213	968	胸腺法新注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182100538	1222	疤痕止痒软化乳膏(软化膏)	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182100995	★(833)	人用狂犬病疫苗(人二倍体细胞)注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182101009	★(833)	人用狂犬病疫苗(地鼠肾细胞)注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00001	限工伤保险的药品	1710412402182101025	★(833)	人用狂犬病疫苗(鸡胚细胞)注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1567677479643044318	1	阿胶	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678110461	2	白糖参	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678100366	3	朝鲜红参	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1747753917566102905	4	穿山甲(醋山甲、炮山甲)	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678103988	5	玳瑁	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1567677479570666251	6	蜂蜜	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678107249	7	野山参	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678117223	8	移山参	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678104151	9	珍珠	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678119999	10	紫河车	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678102390	11	各种动物脏器(鸡内金除外)和胎、鞭、尾、筋、骨	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678102393	12	狗宝	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678113271	13	龟鹿二仙胶	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678121605	14	海马	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1773653503998100730	15	羚羊角(羚羊角镑片、羚羊角粉)	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1747753917566104522	16	鹿茸(鹿茸粉、鹿茸片)	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678118948	17	马宝	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678101631	18	牛黄	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1734520859742101156	19	鲜石斛(铁皮石斛)	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1734520859742107521	20	西红花(番红花)	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678116514	21	西洋参	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678115142	22	血竭	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678101308	23	燕窝	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1666689484428100382	24	冬虫夏草	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678104640	25	哈蟆油	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1567677479685733367	26	蜂胶	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678103616	27	玛瑙	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678104029	28	珊瑚	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1576806136440276645	29	麝香	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678109867	30	天山雪莲	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678102916	31	猴枣	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00003	非医保支付范围的中药饮片	1675770553678121631	32	海龙	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182100352	17	艾普拉唑口服常释剂型	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1611149388441345410	166	艾托格列净片	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182100819	308	结构脂肪乳(C6-24)注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1567677492292705677	386	利奥西呱片	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182101097	555	吡美莫司软膏剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182101109	559	他克莫司软膏剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182101049	728	吉米沙星口服常释剂型	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1567677479470665560	732	苹果酸奈诺沙星胶囊	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182101278	734	替考拉宁注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1710412402182100108	739	左奥硝唑氯化钠注射剂	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
D00005	限二线治疗使用的药品	1567677479481876063	740	吗啉硝唑氯化钠注射液	国家基本医疗保险、生育保险和工伤保险药品目录(2025年)
