ruleId	ruleName	ruleType	ruleNote	splitFlag	originRuleId	ruleStatus	ruleSource
R00001	药品限工伤保险	政策类-药品政策限定类-药品限工伤保险	根据医保药品目录规定，该药品限工伤保险使用，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00003	中药饮片单复方均不予支付	政策类-药品政策限定类-中药饮片单复方均不予支付	根据医保药品目录规定，该中药饮片非医保支付范围。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00005	药品限二线治疗	政策类-药品政策限定类-药品限二线使用	根据医保药品目录规定，该药品限二线治疗用药时，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00007	药品限儿童使用	政策类-药品政策限定类-药品限儿童使用	根据医保药品目录规定，该药品限儿童患者使用，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00008	药品限适应证	政策类-药品政策限定类-药品限适应证	根据医保药品目录规定，该药品限指定适应证患者使用，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00012	药品限医疗机构级别	政策类-药品政策限定类-药品限医院机构级别	根据医保药品目录规定，该药品限指定医疗机构级别的医院，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00017	药品限急救抢救使用	政策类-药品政策限定类	根据医保药品目录规定，该药品限急救抢救时，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00021	药品与医疗服务项目不符	医疗类-药品合理使用类-药品与医疗服务项目不符	根据医保药品目录规定，该药品限与特定医疗服务项目同时使用，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00022	药品区分性别使用	医疗类-药品合理使用类-药品区分性别使用	该药品区分性别使用，限定指定性别患者时，方可报销。	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00025	儿童禁用药品	医疗类-药品合理使用类-药品儿童禁用	若患者是儿童，应禁止使用该药品。（配套值集字典仅作参考）	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
R00026	儿童慎用药品	医疗类-药品合理使用类-药品儿童禁用	若患者是儿童，应谨慎使用该药品。（配套值集字典仅作参考）	0		1	国家基本医疗保险、工伤保险和生育保险药品目录(2025)
