valueSetId	valueSetName	entityId	sourceCode	term	valueSource
D00003	限工伤保险	1567677492370102806	33120400500	阴茎再植术	浙江省基本医疗保险医疗服务项目目录(2025)
D00003	限工伤保险	1638862658324715225	33160304300	肌腱移植术	浙江省基本医疗保险医疗服务项目目录(2025)
D00003	限工伤保险	1567677493031134661	33060102500	鼻畸形矫正术	浙江省基本医疗保险医疗服务项目目录(2025)
D00003	限工伤保险	1567677493039587315	33050101700	分期耳廓成形术	浙江省基本医疗保险医疗服务项目目录(2025)
D00003	限工伤保险	1567677493088052568	33050101600	一期耳廓成形术	浙江省基本医疗保险医疗服务项目目录(2025)
D00003	限工伤保险	1576768507055677580	33050101800	耳廓再造术	浙江省基本医疗保险医疗服务项目目录(2025)
D00003	限工伤保险	1576768507035227073	33060102600	鼻再造术	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492930050830	31120201000	新生儿换血术	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1718800896110107080	25020203900	新生儿溶血症筛查	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1734520859742104230	25070090300	新生儿疾病筛查2项检测	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1651196212235124261	31120200800	新生儿脐静脉穿刺和注射	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492696580581	12010000701	疾患新生儿护理	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492930622504	12010000700	新生儿护理	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1638862621210835836	31120200900	新生儿兰光治疗	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1734520859742104219	25070090400	新生儿疾病筛查26项检测	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1651196475881748529	31120200600	新生儿洗胃	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1718800896110107095	31120200700	新生儿监护	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492930447325	31120200300	新生儿复苏	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1638862664452997966	31120200400	新生儿气管插管术	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1734520859742104168	31120200100	新生儿暖箱	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1718800896110107150	31120201500	新生儿行为测定	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1638862596920630587	31120201200	新生儿辐射抢救治疗	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492930046150	31120201301	新生儿后囟门穿刺术	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492930405648	31120201300	新生儿前囟门穿刺术	浙江省基本医疗保险医疗服务项目目录(2025)
D00005	限新生儿	1567677492930050830	31120201000	新生儿换血术	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1718800896110107080	25020203900	新生儿溶血症筛查	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1734520859742104230	25070090300	新生儿疾病筛查2项检测	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1638862621210835836	31120200900	新生儿兰光治疗	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1734520859742104219	25070090400	新生儿疾病筛查26项检测	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1651196475881748529	31120200600	新生儿洗胃	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1718800896110107095	31120200700	新生儿监护	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1567677492930447325	31120200300	新生儿复苏	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1638862664452997966	31120200400	新生儿气管插管术	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1734520859742104168	31120200100	新生儿暖箱	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1718800896110107150	31120201500	新生儿行为测定	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00005	限新生儿	1638862596920630587	31120201200	新生儿辐射抢救治疗	浙江省省级公立医院医疗服务价格项目汇总表(20251015)
D00007	限科室类别	1567677492367726864	33090000900	胸导管结扎术	浙江省基本医疗保险医疗服务项目目录(2025)
D00007	限科室类别	1567677492672136714	34020002600	关节松动训练(小关节(指关节))	浙江省基本医疗保险医疗服务项目目录(2025)
D00007	限科室类别	1691462440570259635	12110090200	目标体温管理	浙江省基本医疗保险医疗服务项目目录(2025)
D00007	限科室类别	1710843210776100785	31140004700	护架烤灯	浙江省基本医疗保险医疗服务项目目录(2025)
D00007	限科室类别	1638862606590528364	33010200300	气管插管术	浙江省基本医疗保险医疗服务项目目录(2025)
D00007	限科室类别	1638862588935786583	3314	产科手术与操作	浙江省基本医疗保险医疗服务项目目录(2025)
D00007	限科室类别	1734520859742124172	33010200201	神经根脱髓鞘等治疗	浙江省基本医疗保险医疗服务项目目录(2025)
