entityId	entitySourceCode	entity	entityType	property	valueId	valueSourceCode	value	valueType	group	source
1567677492930050830	31120201000	新生儿换血术	操作	限包含项目	1638862669590823267		脐静脉插管术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507398877114	33020102100	颅内蛛网膜囊肿分流术	操作	限包含项目	1576768507398233132		颅内蛛网膜囊肿切除术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507398877114	33020102100	颅内蛛网膜囊肿分流术	操作	限适应证	1596181584071356718		颅内蛛网膜囊肿	临床所见	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507452685617	33060802401	下颌骨缺损钛板重建术(双颌)	操作	限包含项目	1585622403981501707		颌间固定	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507452685617	33060802401	下颌骨缺损钛板重建术(双颌)	操作	限包含项目	1612349675683824477		邻位皮瓣修复	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507452157431	33060802400	下颌骨缺损钛板重建术(单颌)	操作	限包含项目	1585622403981501707		颌间固定	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507452157431	33060802400	下颌骨缺损钛板重建术(单颌)	操作	限包含项目	1612349675683824477		邻位皮瓣修复	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507405215070	33060701701	颞下颌关节成形术(双侧)	操作	限包含项目	1718800896110108351		骨及代用品植入术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507405215070	33060701701	颞下颌关节成形术(双侧)	操作	限包含项目	1718800896110108549		骨球截除术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507405215070	33060701701	颞下颌关节成形术(双侧)	操作	限包含项目	1718800896110106231		喙突截除术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507405215070	33060701701	颞下颌关节成形术(双侧)	操作	限包含项目	1718800896110108737		植骨床制备术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
1576768507405571738	33060701700	颞下颌关节成形术(单侧)	操作	限包含项目	1718800896110108351		骨及代用品植入术	操作	0	浙江省基本医疗保险医疗服务项目目录(2025)
